domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
1.usa.gov,5392,6395,5141,1.1860163204747773,20.998516320474778,5392
usmcservmart.gsa.gov,5329,82065,2821,15.399699756051792,1017.006567836367,5204
mcm.fas.gsa.gov,5266,34042,3385,6.464489175845044,226.37846562856058,5768
vehiclestd.fas.gsa.gov,5204,8589,3009,1.6504611837048424,406.43274404304384,4639
content-guide.18f.gov,5141,10407,3762,2.0243143357323476,85.24119821046489,5078
phdc-pub.gsa.gov,5078,11034,3135,2.1729027176053566,203.3265064986215,5015
origin-www.gsa.gov,4890,14419,4012,2.9486707566462167,96.78323108384458,5078
vaadvantage.gsa.gov,4765,14294,4012,2.999790136411333,120.16285414480588,4827
hallways.cap.gsa.gov,4639,6019,4263,1.297477904720845,13.784651864625998,4890
extportal.pbs.gsa.gov,4389,5015,1818,1.1426293005240373,35.35315561631351,4389
doi-extractives-data.app.cloud.gov,4263,1128,4200,0.26460239268121044,88.85573539760732,940
gsaxcess.gov,4263,5266,3385,1.2352803190241615,52.384001876612714,4263
madeinamerica.gov,4263,7460,2947,1.749941355852686,48.35444522636641,4263
pra.digital.gov,4263,9279,3260,2.1766361717100633,115.94463992493549,4263
fedsim.gsa.gov,4075,8150,3072,2.0,92.5241717791411,4263
playbook.cio.gov,4012,4702,2132,1.1719840478564307,27.127367896311068,3950
api.data.gov,3950,6019,3636,1.5237974683544304,43.551898734177215,4012
go.usa.gov,3824,7335,3323,1.9181485355648535,30.36297071129707,3824
touchpoints.digital.gov,3762,4326,2633,1.1499202551834131,46.77804359383307,3636
strategy.data.gov,3699,9906,2947,2.678021086780211,61.60827250608273,4263
fpc.gov,3448,6583,2821,1.9092227378190256,99.56699535962878,3448
sdg.data.gov,3448,11598,2821,3.36368909512761,124.00435034802784,3448
oes.gsa.gov,3385,5893,3197,1.7409158050221565,64.60059084194978,3385
rocis.gov,3385,4765,1003,1.4076809453471197,47.783751846381094,3385
blog.usa.gov,3323,6207,2947,1.8678904604273248,64.59855552211857,3072
itdashboard.gov,3323,8840,2947,2.6602467649714114,137.53596148058983,3323
arm.fas.gsa.gov,3260,41315,376,12.673312883435583,867.1257668711656,3762
gsaadvantage-test.fas.gsa.gov,3135,4075,3135,1.2998405103668262,0.11993620414673047,3135
fedpay.gsa.gov,3072,5078,1128,1.6529947916666667,138.79427083333334,3072
fleet.fas.gsa.gov,3009,17115,251,5.687936191425723,610.2834828846793,2947
trumpadministration.archives.performance.gov,3009,3636,3009,1.2083748753738783,83.2366234629445,3009
leasing.gsa.gov,2947,13354,2382,4.531387852052935,101.94265354597896,3072
evaluation.gov,2884,4639,1943,1.6085298196948683,48.25901525658807,2821
epay.fas.gsa.gov,2758,4765,878,1.7277012327773749,230.7005076142132,2633
airnowtomed.app.cloud.gov,2696,4577,2006,1.697700296735905,152.01224035608308,2696
accessibility.18f.gov,2445,3135,2006,1.2822085889570551,37.7439672801636,2445
tmf.cio.gov,2445,5956,1881,2.4359918200408996,150.61717791411044,2445
gsaadvantage-test2.fas.gsa.gov,2320,3197,2382,1.3780172413793104,0.13491379310344828,2382
ussm.gsa.gov,2320,4451,1881,1.9185344827586206,210.88663793103447,2382
art.gsa.gov,2194,9906,1755,4.5150410209662715,145.0168641750228,2132
contractdirectory.gov,2132,5705,1755,2.6758911819887428,86.95262664165104,2132
mysales.fas.gsa.gov,2132,19874,1379,9.321763602251407,597.7307692307693,2194
ret.gsa.gov,2069,5141,1755,2.484775253745771,129.87046882551957,2069
training.section508.gov,2069,46079,1818,22.27114548090865,862.7646205896568,2069
cic.gsa.gov,2006,3762,1567,1.8753738783649052,342.2801595214357,1881
cdo.gov,1943,3385,1630,1.7421513124034997,58.014410705095216,1943
fleet.gsa.gov,1943,3197,690,1.6453937210499228,151.8121461657231,1567
web.fleet-stg.fcs.gsa.gov,1943,2821,564,1.4518785383427688,16.939783839423573,1943
computersforlearning.gov,1881,6771,1254,3.5996810207336525,32.42955874534822,1881
atf-eregs.18f.gov,1818,3323,1379,1.8278327832783279,148.83553355335533,1818
find.digitalgov.gov,1818,2758,1505,1.517051705170517,111.45434543454346,1818
statspolicy.gov,1818,2821,752,1.5517051705170517,14.035203520352034,1818
rewrite.dev.d2d.mcaas.fcs.gsa.gov,1755,8652,188,4.92991452991453,608.1760683760684,1630
federalist-2e11f2c8-970f-44f5-acc8-b47ef6c741ad.sites.pages.cloud.gov,1630,3824,63,2.34601226993865,224.42576687116565,1567
code.gov,1567,6645,1505,4.240587109125718,22.64454371410338,1567
courtsweb.gsa.gov,1505,4012,439,2.66578073089701,115.30498338870431,1505
login.fai.gov,1442,1818,564,1.260748959778086,145.25520110957004,1442
10x.gsa.gov,1379,1630,1066,1.1820159535895576,10.319796954314722,1379
project-open-data.cio.gov,1379,1630,1317,1.1820159535895576,30.86947063089195,1379
fcsm.gov,1317,4263,1191,3.2369020501138954,37.463173880030375,1254
derisking-guide.18f.gov,1254,11034,1066,8.799043062200957,54.843700159489636,1254
preview.gsa.gov,1254,3824,376,3.0494417862838916,567.3875598086124,1003
aas.gsa.gov,1191,4577,1254,3.842989084802687,76.22166246851386,1317
engineering.18f.gov,1191,1442,1128,1.2107472712006717,31.952141057934508,1191
realpropertyprofile.gov,1191,6771,752,5.685138539042821,412.63727959697735,1191
ebuy.gsa.gov,1128,125,940,0.11081560283687943,11.72695035460993,63
find.search.gov,1128,2069,815,1.8342198581560283,58.13563829787234,1003
idp.staging.login.gov,1128,18181,815,16.11790780141844,13517.859042553191,1128
catalog.gsa.gov,1066,1379,564,1.2936210131332082,5.2926829268292686,1128
lop.gsa.gov,1066,1317,1066,1.2354596622889307,10.174484052532833,1003
public-sans.digital.gov,1066,1317,1003,1.2354596622889307,18.113508442776734,1066
staging.d2d.gsa.gov,1066,6144,502,5.7636022514071295,339.4015009380863,1128
400yaahc.gov,1003,1442,1003,1.4376869391824527,19.627118644067796,1003
cloud.cio.gov,1003,2382,1003,2.374875373878365,20.50149551345962,1003
workplace.gsa.gov,1003,1943,439,1.9371884346959123,123.51146560319043,940
federalist-35af9df5-a894-4ae9-aa3d-f6d95427c7bc.sites.pages.cloud.gov,940,2194,125,2.3340425531914892,272.04787234042556,815
login.acquisition.gov,940,1567,1317,1.6670212765957446,75.03191489361703,940
ux-guide.18f.gov,940,2132,690,2.2680851063829786,44.48510638297872,878
sbst.gov,878,878,690,1.0,1.428246013667426,878
product-guide.18f.gov,815,11222,815,13.769325153374233,122.07852760736196,815
gsaadvantage-test3.fas.gsa.gov,752,2821,815,3.7513297872340425,16.340425531914892,815
open.usa.gov,752,11285,564,15.006648936170214,224.01063829787233,752
search.cio.gov,752,1317,376,1.7513297872340425,401.7526595744681,502
dhsadvantage.gsa.gov,690,2382,627,3.4521739130434783,38.43333333333333,690
itvmo.gsa.gov,690,1818,376,2.634782608695652,348.17391304347825,690
pages.cloud.gov,690,7962,313,11.539130434782608,237.5072463768116,752
tams.gsa.gov,690,1505,690,2.181159420289855,19.807246376811595,815
afadvantage.gov,627,2947,627,4.700159489633174,57.79425837320574,627
beta.fpds.gov,627,1317,376,2.1004784688995217,415.5534290271132,564
eng-hiring.18f.gov,627,7837,564,12.49920255183413,187.27910685805423,627
benefits-tool-beta.usa.gov,564,22820,690,40.46099290780142,460.63829787234044,627
labs.gsa.gov,564,627,439,1.1117021276595744,0.0,627
roads.fas.gsa.gov,564,564,63,1.0,0.0,564
scopereview.gsa.gov,564,690,125,1.2234042553191489,58.8031914893617,564
v1.designsystem.digital.gov,564,1128,690,2.0,11.78191489361702,564
55samfrontendcomp.apps.prod-iae.bsp.gsa.gov,502,2132,251,4.247011952191235,140.24701195219123,502
agile.18f.gov,502,564,502,1.1235059760956174,0.1254980079681275,502
calm.gsa.gov,502,627,313,1.249003984063745,36.8406374501992,376
cms.permits.performance.gov,502,1630,251,3.247011952191235,468.57370517928285,627
epayb.fas.gsa.gov,502,564,188,1.1235059760956174,33.47011952191235,376
tdr-test.gsa.gov,502,502,502,1.0,0.0,502
tmss.preprod-acqit.helix.gsa.gov,502,2633,502,5.245019920318725,16.48406374501992,502
amp.fas.gsa.gov,439,2445,251,5.569476082004556,211.35763097949885,439
apps.ocfo.gsa.gov,439,1128,439,2.569476082004556,223.78132118451026,376
pfabankfindui-d.app.cloud.gov,439,690,376,1.571753986332574,0.856492027334852,439
sorndashboard.fpc.gov,439,752,439,1.712984054669704,79.82915717539863,439
test.dev-ppm.fcs.gsa.gov,439,16551,439,37.70159453302961,1151.753986332574,439
autovendor.fas.gsa.gov,376,564,188,1.5,87.5372340425532,376
dev-nrrd.app.cloud.gov,376,376,376,1.0,0.0,376
fac-staging.app.cloud.gov,376,1191,376,3.1675531914893615,184.24468085106383,439
origin-www.acquisition.gov,376,439,251,1.1675531914893618,283.28723404255317,313
prod-onrr-frontend.app.cloud.gov,376,125,376,0.3324468085106383,0.0,125
tailored.fedramp.gov,376,878,376,2.3351063829787235,0.5,376
8astars.fas.gsa.gov,313,313,313,1.0,8.012779552715655,188
mobile.reginfo.gov,313,439,251,1.402555910543131,618.7188498402556,251
navigator.gsa.gov,313,752,439,2.402555910543131,1.2012779552715656,313
spdatawarehouse.gsa.gov,313,752,376,2.402555910543131,23.43450479233227,376
airnow-blue.app.cloud.gov,251,502,251,2.0,2.99601593625498,251
demo.pra.digital.gov,251,251,251,1.0,0.0,251
federation.data.gov,251,1442,251,5.745019920318725,51.95219123505976,251
navigator-dev.gsa.gov,251,815,63,3.247011952191235,653.9043824701196,0
reporting.gov,251,1003,251,3.99601593625498,19.231075697211157,251
test.regulations.gov,251,251,251,1.0,0.0,251
training.rocis.gov,251,1191,251,4.745019920318725,2.0,251
uat.itdashboard.gov,251,251,251,1.0,0.0,251
55samfrontendminc.apps.prod-iae.bsp.gsa.gov,188,439,125,2.3351063829787235,7.670212765957447,188
ask.gsa.gov,188,502,188,2.6702127659574466,208.75531914893617,188
brand.18f.gov,188,313,188,1.6648936170212767,0.6648936170212766,188
demo.10x.gsa.gov,188,188,188,1.0,0.0,188
federalist-e3fba26d-2806-4f02-bf0e-89c97cfba93c.sites.pages.cloud.gov,188,251,251,1.3351063829787233,0.0,251
fedspecs.gsa.gov,188,376,313,2.0,0.0,313
guides.18f.gov,188,627,188,3.3351063829787235,50.3563829787234,188
pbs-billing.gsa.gov,188,1254,188,6.670212765957447,836.0212765957447,188
pfabankapi-n.app.cloud.gov,188,188,63,1.0,0.0,188
pfabankapi.app.cloud.gov,188,313,188,1.6648936170212767,13.00531914893617,125
staging.code.gov,188,16614,188,88.37234042553192,743.313829787234,188
all-sorns.app.cloud.gov,125,313,188,2.504,1.0,188
atf-eregs.app.cloud.gov,125,188,125,1.504,1.0,125
ccp-core.dev.cmccp.mcaas.fcs.gsa.gov,125,313,63,2.504,1293.48,125
charlie.sam.gov,125,251,63,2.008,8.024,125
crt-portal-django-prod.app.cloud.gov,125,125,125,1.0,0.0,125
demo.touchpoints.digital.gov,125,125,125,1.0,0.0,125
dev-onrr-frontend.app.cloud.gov,125,63,125,0.504,0.0,63
ebuy-test.fas.gsa.gov,125,63,125,0.504,0.0,63
fac-preview.app.cloud.gov,125,439,188,3.512,54.672,125
falcon.gsa.gov,125,125,63,1.0,0.0,125
fcp-test.gsa.gov,125,1254,63,10.032,4531.456,125
federalist-92b5c263-14e3-4225-a235-5ee71593c138.sites.pages.cloud.gov,125,188,125,1.504,100.808,125
federalist-adaef58d-ff3c-4a0f-961c-c9916e7bff41.sites.pages.cloud.gov,125,125,63,1.0,0.0,125
federalist-d99fdc38-63df-4d35-bcc2-5f9654483de0.sites.pages.cloud.gov,125,125,125,1.0,0.0,125
gsaadvantage-dev2.fas.gsa.gov,125,752,63,6.016,43.136,63
labs.usa.gov,125,125,125,1.0,0.0,125
pfabankfindui-q.app.cloud.gov,125,313,125,2.504,6.016,63
pfabankui-d.app.cloud.gov,125,125,125,1.0,0.0,125
scopereview-dev.gsa.gov,125,313,63,2.504,2164.168,125
stage.api.data.gov,125,125,125,1.0,0.0,125
tams.dev-acqit.helix.gsa.gov,125,188,125,1.504,24.072,125
uat.dev-ppm.fcs.gsa.gov,125,752,125,6.016,68.208,125
web.fleet-dev.fcs.gsa.gov,125,125,125,1.0,0.0,125
air639-esridisabled.app.cloud.gov,63,188,63,2.984126984126984,2.984126984126984,63
airnow-green.app.cloud.gov,63,63,63,1.0,0.0,63
airnowwidget-blue.app.cloud.gov,63,63,63,1.0,0.0,63
analytics-develop.app.cloud.gov,63,125,63,1.9841269841269842,1.0,63
autoauctionsb.fas.gsa.gov,63,63,63,1.0,0.0,63
beta.cpars.gov,63,63,63,1.0,0.0,63
cg-4ade7cd3-a036-4fb7-b1d5-bcef64cb3ddf.sites.pages.cloud.gov,63,63,63,1.0,0.0,63
cg-f7a6dbc1-b791-40b1-9eeb-e725679c82c9.sites.pages.cloud.gov,63,63,63,1.0,0.0,63
demo.accessibility.digital.gov,63,63,63,1.0,0.0,63
demo.smartpay.gsa.gov,63,63,63,1.0,0.0,63
eoffer-test.fas.gsa.gov,63,63,63,1.0,0.0,63
federalist-17bd62cc-77b7-4687-9c62-39b462ce6fd5.sites.pages.cloud.gov,63,63,63,1.0,0.0,63
federalist-63a1d04f-0c28-4e1c-a859-a4b021833cbc.sites.pages.cloud.gov,63,63,63,1.0,0.0,63
federalist-9b06719f-4ddf-4b5e-92cf-4df82a05922b.sites.pages.cloud.gov,63,125,63,1.9841269841269842,1.0,63
federalist-ead78f8d-8948-417c-a957-c21ec5617a57.sites.pages.cloud.gov,63,63,63,1.0,0.0,63
fmitservices-external.gsa.gov,63,63,63,1.0,0.0,63
gsaadvantage-dev.fas.gsa.gov,63,878,63,13.936507936507937,2.984126984126984,125
gsaadvantage.gsa.gov,63,251,125,3.984126984126984,0.0,125
mia-django-develop.app.cloud.gov,63,376,125,5.968253968253968,1.9841269841269842,63
mia-django-devops.app.cloud.gov,63,63,63,1.0,0.0,63
mywaterway-prod.app.cloud.gov,63,188,125,2.984126984126984,0.0,125
navigator-test.gsa.gov,63,1317,125,20.904761904761905,0.0,63
pfabankapi-q.app.cloud.gov,63,125,63,1.9841269841269842,5.968253968253968,63
preview-onrr-frontend.app.cloud.gov,63,251,63,3.984126984126984,5.968253968253968,63
recycling.gsa.gov,63,63,63,1.0,0.0,63
rith-dev.fss19-dev.fcs.gsa.gov,63,63,63,1.0,0.0,63
scopereview-test.gsa.gov,63,439,63,6.968253968253968,0.0,125
staging.regulations.gov,63,125386,63,1990.2539682539682,10200.063492063493,63
tams.prod-acqit.helix.gsa.gov,63,63,63,1.0,0.0,63
viz-dev.dev.ogpvp.mcaas.fcs.gsa.gov,63,63,63,1.0,0.0,63
