date,browser_version,visits
2015-12-12,11.0,1041754
2015-12-12,9.0,109509
2015-12-12,10.0,84384
2015-12-12,8.0,60788
2015-12-12,7.0,41962
2015-12-13,11.0,1153369
2015-12-13,9.0,118132
2015-12-13,10.0,90554
2015-12-13,8.0,64617
2015-12-13,7.0,40343
2015-12-14,11.0,3336549
2015-12-14,9.0,575390
2015-12-14,10.0,426192
2015-12-14,7.0,417953
2015-12-14,8.0,277443
2015-12-15,11.0,3161509
2015-12-15,9.0,542134
2015-12-15,10.0,399347
2015-12-15,7.0,396701
2015-12-15,8.0,253869
2015-12-15,6.0,1281
2015-12-16,11.0,2975010
2015-12-16,9.0,511387
2015-12-16,7.0,373623
2015-12-16,10.0,369871
2015-12-16,8.0,236304
2015-12-16,6.0,1267
