page,page_title,active_visitors
donotcall.gov/register/reg.aspx,National Do Not Call Registry,95
uscis.gov/n-400,Application for Naturalization | USCIS,95
ceac.state.gov/genniv/general/complete/complete_personal.aspx?node=personal1,Nonimmigrant Visa - Personal Information 1,94
faa.gov/uas/registration/,Unmanned Aircraft Systems (UAS) Registration,94
"ftc.gov/tips-advice/business-center/privacy-and-security/children's-privacy","Children's Privacy | Federal Trade Commission",93
noaa.gov/wx.html,NOAA - National Oceanic and Atmospheric Administration - Weather,93
usajobs.gov/getjob/viewdetails/423817000,USAJOBS - Search Jobs,93
cdc.gov/,Centers for Disease Control and Prevention,92
ceac.state.gov/genniv/general/complete/complete_workeducation1.aspx?node=workeducation1,Nonimmigrant Visa - Present Work/Education/Training Information,92
ssa.gov/ssnumber/,New or Replacement Social Security Number and Card,92
eauth.va.gov/wssweb/wss-common-webparts/mvc/ebn/openclaimsummary,Summary - Claim Status,91
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS,91
opm.gov/cybersecurity,Cybersecurity Resource Center,91
defense.gov/,United States Department of Defense,90
va.gov/opa/pressrel/pressrelease.cfm?id=2743,News Releases - Office of Public and Intergovernmental Affairs,90
studentaid.ed.gov/sa/,Federal Student Aid,89
usajobs.gov/account/forgotpassword,USAJOBS - Account Verification,89
irs.gov/for-tax-pros,Tax Professionals,86
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_getdetail,Motor Carrier Details,86
smclinician.myhealth.va.gov/mhv-sm-web/leftnav.action,My HealtheVet - Secure Messaging - Inbox,86
ssa.gov/agency/contact/phone.html,Contact Social Security By Phone,86
treasury.gov/resource-center/data-chart-center/interest-rates/pages/textview.aspx?data=yield,Daily Treasury Yield Curve Rates,86
gsa.gov/portal/content/104877,Per Diem Rates,84
studentaid.ed.gov/sa/repay-loans/forgiveness-cancellation/public-service,Public Service Loan Forgiveness | Federal Student Aid,84
gsaadvantage.gov/advantage/s/search.do?db=0&searchtype=0,Search Results,83
justice.gov/opa/pr/pennsylvania-resident-charged-providing-material-support-isil,Pennsylvania Resident Charged with Providing Material Support to ISIL | OPA | Department of Justice,83
nih.gov/,National Institutes of Health (NIH) | Turning Discovery Into Health,83
wrh.noaa.gov/pqr/,National Weather Service - NWS Portland,81
opm.gov/,OPM.gov,79
ssa.gov/onlineservices/,What You Can Do Online,79
ceac.state.gov/genniv/general/esign/complete_done.aspx?node=done,Nonimmigrant Visa - Confirmation Page,78
travel.state.gov/content/travel/en.html,travel.state.gov,78
ceac.state.gov/genniv/,Nonimmigrant Visa - Instructions Page,77
consumerfinance.gov/find-a-housing-counselor/,Find a housing counselor > Consumer Financial Protection Bureau,77
donotcall.gov/,National Do Not Call Registry,77
ceac.state.gov/genniv/general/complete/complete_previousustravel.aspx?node=previousustravel,Nonimmigrant Visa - Previous U.S. Travel Information,75
tsa.gov/travel/security-screening/prohibited-items,Prohibited Items | Transportation Security Administration,75
ceac.state.gov/genniv/general/complete/complete_uscontact.aspx?node=uscontact,Nonimmigrant Visa - U.S. Point of Contact Information,74
my.usajobs.gov/applicant/application/listapplications,USAJOBS - Application Status,73
cdc.gov/healthyweight/assessing/bmi/adult_bmi/english_bmi_calculator/bmi_calculator.html,Adult BMI Calculator: English | Assessing Your Weight | Healthy Weight | DNPAO | CDC,72
studentaid.ed.gov/sa/repay-loans/understand/plans/income-driven,Income-Driven Plans | Federal Student Aid,72
petitions.whitehouse.gov/petition/take-action-against-discriminatory-repercussions-visa-waiver-program-improvement-act-2015-hr-158,Take Action Against the Discriminatory Repercussions of the Visa Waiver Program Improvement Act of 2015 (H.R. 158) | We the People: Your Voice in Our Government,71
usajobs.gov/search/advancedsearch,Advanced Search,71
irs.gov/uac/telephone-assistance,Telephone Assistance,70
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_carrlist,Carrier Search,70
ceac.state.gov/genniv/general/complete/passport_visa_info.aspx?node=pptvisa,Nonimmigrant Visa - Passport Information,69
usajobs.gov/applicant/myaccount/inbox,USAJOBS - Inbox,69
ceac.state.gov/genniv/common/recovery.aspx,Nonimmigrant Visa - Recover Your Application,68
ceac.state.gov/genniv/general/complete/complete_workeducation2.aspx?node=workeducation2,Nonimmigrant Visa - Previous Work/Education/Training Information,68
justice.gov/,U.S. Department of Justice,68
ceac.state.gov/genniv/general/complete/complete_family1.aspx?node=relatives,Nonimmigrant Visa - Family Information: Relatives,67
cpol.army.mil/,Civilian Personnel On Line Homepage | cpol.army.mil,67
uscis.gov/i-130,Petition for Alien Relative | USCIS,67
bop.gov/mobile/find_inmate/byname.jsp,BOP: Federal Inmates By Name,65
socialsecurity.gov/bso/bsowelcome.htm,Business Services Online,65
uspto.gov/trademark,Trademarks | USPTO,65
irs.gov/uac/about-form-w9,"Form W-9, Request for Taxpayer Identification Number (TIN) and Certification",64
jpl.nasa.gov/news/news.php?feature=4799,News | Rocks Rich in Silica Present Puzzles for Mars Rover Team,64
nasa.gov/feature/new-findings-from-nasa-s-new-horizons-shape-understanding-of-pluto-and-its-moons/,New Findings from NASA’s New Horizons Shape Understanding of Pluto | NASA,64
opm.gov/policy-data-oversight/pay-leave/salaries-wages/,Salaries & Wages,63
socialsecurity.gov/ssnumber/ss5doc.htm,Learn what documents you need to get a Social Security Card,63
usajobs.gov/applicant/myaccount/home,My Account - Home,63
uspto.gov/patents-application-process/search-patents,Search for Patents | USPTO,63
blogs.va.gov/vantage/24773/va-plans-to-propose-expanded-disability-benefits-eligibility-for-veterans-exposed-to-contaminated-water-at-camp-lejeune/,VA plans to propose expanded disability benefits eligibility for Veterans exposed to contaminated water at Camp Lejeune - VAntage Point,62
cdc.gov/std/chlamydia/stdfact-chlamydia.htm,STD Facts - Chlamydia,62
nasa.gov/feature/goddard/hubble-sees-the-force-awakening-in-a-newborn-star/,Hubble Sees the Force Awakening in a Newborn Star | NASA,62
apps.irs.gov/app/withholdingcalculator/index3.jsp,2015 Withholding Calculator,61
myhealth.va.gov/mhv-portal-web/anonymous.portal?_nfpb=true&_pagelabel=mhvhome,My HealtheVet,61
uscis.gov/i-485,Application to Register Permanent Residence or Adjust Status | USCIS,60
wrh.noaa.gov/otx/,National Weather Service - NWS Spokane,60
ceac.state.gov/genniv/general/complete/complete_contact.aspx?node=addressphone,Nonimmigrant Visa - Address and Phone Information,59
fbo.gov/index,Home - Federal Business Opportunities: Home,59
freshempire.betobaccofree.hhs.gov/the-latest/fresh-and-in-control/,Fresh and In Control - Fresh Empire,59
ssa.gov/disabilityssi/apply.html,Apply Online for Disability Benefits,59
ssa.gov/retire/estimator.html,Retirement Estimator,59
fsis.usda.gov/wps/portal/fsis/home,USDA Food Safety and Inspection Service,58
nicsezcheckfbi.gov/,FBI NICS E-Check System - Welcome Page,58
portal.hud.gov/hudportal/hud,HUD/U.S.,58
tsa.gov/,Transportation Security Administration,58
usitc.gov/tata/hts/bychapter/index.htm,2015 HTSA Revision 2 Edition | USITC,58
eauth.va.gov/wssweb/wss-common-webparts/mvc/ebn/rateddisabilities,Disabilities,57
cdc.gov/std/widgets/widget-3b.html,STD Widget 3,56
e-verify.uscis.gov/emp/verify.aspx,E-Verify - Initial Verification - Select Citizenship Status,56
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_carrlist,Licensing & Insurance Carrier Search,56
nrcs.usda.gov/wps/portal/nrcs/main/national/people/employees/,NRCS Employees | NRCS,56
teas.uspto.gov/forms/teas.service,"Trademark/Service Mark Application, Principal Register",56
wrh.noaa.gov/boi/,"National Weather Service - Boise, ID",56
faa.gov/,Federal Aviation Administration,54
faq.ssa.gov/link/portal/34011/34019/article/3755/how-do-i-apply-for-a-new-or-replacement-social-security-number-card,How do I apply for a new or replacement Social Security number card?,54
nsopw.gov/en/search/results,Search Results,54
travel.state.gov/content/passports/en/passports/first-time.html,First Time Applicants,54
weather.gov/forecastmaps,National Forecast Maps,54
irs.gov/filing,Filing Your Taxes,52
travel.state.gov/content/passports/en/passports/forms.html,Forms,52
uscis.gov/forms,Forms | USCIS,52
uspto.gov/patents-application-process/checking-application-status/check-filing-status-your-patent-application,Check the Filing Status of Your Patent Application | USPTO,52
eauth.va.gov/wssweb/wss-common-webparts/mvc/viewmydashboard,Your Dashboard - eBenefits,51
eol.jsc.nasa.gov/hdev/,HDEV,51
nfc.usda.gov/,Home | National Finance Center,51
nps.gov/features/yell/webcam/oldfaithfulstreaming.html,National Park Service Webcam,51
socialsecurity.gov/disabilityssi/apply.html,Apply Online for Disability Benefits,51
usajobs.gov/applicant/document/listdocuments,My Account - Saved Documents,51
usgs.gov/,Welcome to the USGS - U.S. Geological Survey,51
benefits.va.gov/compensation/resources_comp01.asp,Veterans Compensation Benefits Rate Tables - Effective 12/1/14 - Compensation,50
goes.noaa.gov/ecir4.html,"Eastern U.S. Infrared, Enhancement 4 - NOAA GOES Geostationary Satellite Server",50
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_pagelabel=refillprescriptions,My HealtheVet,50
apps.irs.gov/app/withholdingcalculator/index5.jsp,2015 Withholding Calculator,49
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 43.99°N and Longitude 121.68°W (Elev. 7638 ft),49
irs.gov/uac/newsroom/new-standard-mileage-rates-now-available,New Standard Mileage Rates Now Available; Business Rate to Rise in 2015,49
osha.gov/,Occupational Safety and Health Administration - Home,49
uscis.gov/i-765,Application for Employment Authorization | USCIS,49
cdc.gov/std/hpv/stdfact-hpv.htm,STD Facts - Human papillomavirus (HPV),48
spc.noaa.gov/products/outlook/day1otlk.html,"Storm Prediction Center Dec 17, 2015 2000 UTC Day 1 Convective Outlook",48
ssa.gov/disabilityssi/,Social Security Disability Benefits - Online Application Information,48
usa.gov/,"U.S. Government's Official Web Portal | USA.gov",48
ceac.state.gov/genniv/common/confirmapplicationid.aspx?node=securequestion,Consular Electronic Application Center - Confirm Application ID Page,47
faa.gov/uas/registration/faqs/,UAS Registration Q&A,47
irs.gov/uac/pay-taxes-by-credit-or-debit-card,Pay your Taxes by Debit or Credit Card,47
spc.noaa.gov/,NOAA/NWS Storm Prediction Center,46
spc.noaa.gov/products/outlook/,Storm Prediction Center Convective Outlooks,46
whitehouse.gov/,The White House | whitehouse.gov,46
aids.gov/hiv-aids-basics/hiv-aids-101/signs-and-symptoms/,Symptoms of HIV,45
archives.gov/exhibits/charters/declaration_transcript.html,Declaration of Independence - Text Transcript,45
eauth.va.gov/wssweb/wss-common-webparts/mvc/ebn/paymenthistorysummary,Payment History,45
wrh.noaa.gov/pdt/,National Weather Service - NWS Pendleton,45
ceac.state.gov/genniv/general/review/review_reviewpersonal.aspx?node=reviewpersonal,"Non-Immigrant Visa - Review Personal, Address, Phone, and Passport Information",44
socialsecurity.gov/retire/apply.html,How to Apply Online For Social Security Retirement Benefits,44
usa.gov/unclaimed-money,Unclaimed Money from the Government | USA.gov,44
apps.irs.gov/app/taxmat/thanks.jsp,Thank You,43
cbp.gov/travel/international-visitors/i-94-instructions,Arrival/Departure Forms: I-94 and I-94W | U.S. Customs and Border Protection,43
dol.gov/,U.S. Department of Labor,43
earthexplorer.usgs.gov/,EarthExplorer,43
fbo.gov/index?s=opportunity&mode=list&tab=list,Opportunities - Federal Business Opportunities: Opportunities,43
fda.gov/,U S Food and Drug Administration Home Page,43
sm.myhealth.va.gov/mhv-sm-web/compose.action,My HealtheVet - Secure Messaging - Create New Message,43
travel.state.gov/content/passports/en/passports/information/where-to-apply.html,Where to Apply,43
travel.state.gov/content/visas/en/law-and-policy/bulletin/2016/visa-bulletin-for-january-2016.html,Visa Bulletin For January 2016,43
travel.state.gov/content/visas/en/visit/visitor.html,Visitor Visa,43
uscis.gov/i-90,Application to Replace Permanent Resident Card | USCIS,43
choosemyplate.gov/,Choose MyPlate,42
freshempire.betobaccofree.hhs.gov/,Fresh Empire,42
nsopw.gov/en-us/search/printview,NSOPW Print View,42
spotthestation.nasa.gov/sightings/,NASA-SpotTheStation,42
treasurydirect.gov/go_to_login.htm,TreasuryDirect Application,42
tsa.gov/travel/security-screening/liquids-rule,Liquids Rule | Transportation Security Administration,42
uspto.gov/patents-application-process/applying-online/about-efs-web,About EFS-Web | USPTO,42
wrh.noaa.gov/sew/,National Weather Service - NWS Seattle,42
archives.gov/veterans/military-service-records/,Start Your Military Service Record (DD Form 214) Request,41
my.usajobs.gov/account/resetpasswordsuccess,USAJOBS - Reset Password Confirmation,41
apod.nasa.gov/apod/,Astronomy Picture of the Day,40
benefits.va.gov/gibill/,Education and Training Home,40
benefits.va.gov/homeloans/purchaseco_loan_limits.asp,Loan Limits - Home Loans,40
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3755,Selected Topic,40
quickfacts.census.gov/cgi-bin/qfd/lookup,QuickFacts: Locate a county by place name,40
smclinician.myhealth.va.gov/mhv-sm-web/reply.action,My HealtheVet - Secure Messaging - Read Message,40
usajobs.gov/applicant/savedjobs/listsavedjobs,USAJOBS - Saved Jobs,40
archives.gov/exhibits/charters/constitution_transcript.html,Transcript of the Constitution of the United States - Official Text,39
e-verify.uscis.gov/emp/vislogin.aspx?js=yes,E-Verify - Login,39
faq.ssa.gov/link/portal/34011/34019/article/3705/how-can-i-get-a-benefit-verification-letter,How can I get a benefit verification letter?,39
ftc.gov/,"Federal Trade Commission | Protecting America's Consumers",39
nasa.gov/multimedia/nasatv/index.html,NASA Television | NASA,39
ssa.gov/bso/bsowelcome.htm,Business Services Online,39
travel.state.gov/content/visas/en/forms/ds-160--online-nonimmigrant-visa-application/frequently-asked-questions.html,DS-160: Frequently Asked Questions,39
uscis.gov/about-us/contact-us,Contact Us | USCIS,39
cdc.gov/std/herpes/stdfact-herpes.htm,STD Facts - Genital Herpes,38
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 43.62°N and Longitude 116.22°W (Elev. 2710 ft),38
irs.gov/uac/contact-your-local-irs-office-1,Contact Your Local IRS Office,38
socialsecurity.gov/medicare/apply.html,Medicare Benefits - How to Apply Online Even if You Are not Ready to Retire,38
socialsecurity.gov/ssnumber/,New or Replacement Social Security Number and Card,38
treasury.gov/pages/social.aspx,Social Hub,38
uscis.gov/i-864,Affidavit of Support Under Section 213A of the Act | USCIS,38
weather.gov/buf/,"Buffalo, NY",38
bop.gov/mobile/find_inmate/,BOP: Federal Inmates By Number,37
cbp.gov/travel/trusted-traveler-programs/global-entry,Global Entry | U.S. Customs and Border Protection,37
ceac.state.gov/genniv/general/complete/complete_personalcont.aspx?node=personal2,Nonimmigrant Visa - Personal Information 2,37
egov.uscis.gov/casestatus/logoff.do,myUSCIS - Case Status Search,37
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_windowlabel=activeprescription&activeprescription_actionoverride=/gov/va/med/mhv/rxrefill/portlet/submitrefillaction&_pagelabel=refillprescriptions,My HealtheVet,37
opm.gov/search/,Search,37
choosemyplate.gov/tools-supertracker,SuperTracker | Choose MyPlate,36
consumerfinance.gov/regulatory-implementation/tila-respa/,TILA-RESPA Integrated Disclosure rule implementation > Consumer Financial Protection Bureau,36
weather.gov/okx/,"New York, NY",36
ceac.state.gov/genniv/general/photo/photo_uploadthephoto.aspx?node=uploadphoto,Nonimmigrant Visa - Upload Photo,35
consumer.ftc.gov/blog/lifelock-agrees-pay-100-million-allegedly-violating-ftc-order,LifeLock agrees to pay $100 million for allegedly violating FTC order | Consumer Information,35
gobierno.usa.gov/,Inicio | GobiernoUSA.gov,35
nasa.gov/image-feature/nustars-view-of-galaxy-1068/,"NuSTAR's View of Galaxy 1068 | NASA",35
nasa.gov/mission_pages/apollo/40th/images/apollo_image_11a.html,Bootprint on the Lunar Surface | NASA,35
studentaid.ed.gov/sa/fafsa,FAFSA: Applying for Aid | Federal Student Aid,35
studentaid.ed.gov/sa/repay-loans/forgiveness-cancellation,"Forgiveness, Cancellation, and Discharge | Federal Student Aid",35
travel.state.gov/content/passports/en/passports/photos/photos.html,Photo Requirements,35
aphis.usda.gov/wps/portal/aphis/home/,USDA APHIS | Home,34
cbp.gov/travel/trusted-traveler-programs/global-entry/how-apply,How to Apply for Global Entry | U.S. Customs and Border Protection,34
dol.gov/whd/fmla/,Family and Medical Leave Act - Wage and Hour Division (WHD) - U.S. Department of Labor,34
fbo.gov/,Home - Federal Business Opportunities: Home,34
fws.gov/,U.S. Fish and Wildlife Service,34
my.usajobs.gov/search/getadvancedsearchresults,USAJOBS - The Federal Government’s Official Jobs Site,34
socialsecurity.gov/payee/form/index.htm,Social Security - Representative Payee Program - Fact Sheet (English),34
ssa.gov/agency/contact/,Contact Social Security,34
ssa.gov/ssnumber/ss5doc.htm,Learn what documents you need to get a Social Security Card,34
weather.gov/box/,"Boston, MA",34
census.gov/popclock/,Population Clock,33
consumerfinance.gov/,CFPB > Consumer Financial Protection Bureau,33
irs.gov/businesses/online-ordering-for-information-returns-and-employer-returns,Online Ordering for Information Returns and Employer Returns,33
nasa.gov/content/what-is-nasa-s-asteroid-redirect-mission/,"What Is NASA's Asteroid Redirect Mission? | NASA",33
nhtsa.gov/drivesober/index.html,Drive Sober,33
safercar.gov/,Home | Safercar -- National Highway Traffic Safety Administration (NHTSA),33
spanish.mexico.usembassy.gov/es/visas/visas-de-no-inmigrante/como-solicitarla.html,¿Cómo Solicitar la Visa? | Mexico - Misión Diplomática de los Estados Unidos,33
studentaid.ed.gov/sa/repay-loans/consolidation,Loan Consolidation | Federal Student Aid,33
studentaid.ed.gov/sa/types/loans/subsidized-unsubsidized,Subsidized and Unsubsidized Loans | Federal Student Aid,33
travel.state.gov/content/passports/en/passports/under-16.html,Passports for Minors Under 16,33
weather.gov/mpx/,"Twin Cities, MN",33
wrh.noaa.gov/slc/,National Weather Service - NWS Salt Lake City,33
cdc.gov/std/spanish/vph/stdfact-hpv-s.htm,Infección genital por VPH - Enfermedades de transmisión sexual,32
census.gov/,Census.gov,32
ftc.gov/news-events/press-releases/2015/12/lifelock-pay-100-million-consumers-settle-ftc-charges-it-violated,LifeLock to Pay $100 Million to Consumers to Settle FTC Charges it Violated 2010 Order | Federal Trade Commission,32
gsa.gov/portal/content/101518,FY 2016 Meals and Incidental Expenses (M&IE) Breakdown,32
irs.gov/individuals/irs-withholding-calculator,IRS Withholding Calculator,32
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfls=false&_nfpb=true&_nfto=true&_pagelabel=mhvhome,My HealtheVet,32
npdb.hrsa.gov/login.jsp,The NPDB - Health Care Organizations Sign In,32
sam.gov/https://www.sam.gov/portal/sam/,System for Award Management,32
usajobs.gov/getjob/viewdetails/423213300,USAJOBS - Search Jobs,32
usbr.gov/,Bureau of Reclamation,32
uscis.gov/file-online/file-form-i-90-online,File the Form I-90 Online | USCIS,32
drugabuse.gov/publications/drugfacts/marijuana,DrugFacts: Marijuana | National Institute on Drug Abuse (NIDA),31
fda.gov/forconsumers/consumerupdates/ucm477092.htm?source=govdelivery,Consumer Updates > Keep Your Dogs and Cats Safe From Holiday Hazards,31
irs.gov/help-&-resources,Help and Resources,31
my.usajobs.gov/applicant/resume/listresumes,USAJOBS - Resumes,31
sam.gov/portal/sam/,System for Award Management,31
socialsecurity.gov/planners/benefitcalculators.html,Calculators,31
therealcost.betobaccofree.hhs.gov/index.html,Home | The Real Cost,31
travel.state.gov/content/visas/en/general/photos.html,Photo Requirements,31
whitehouse.gov/the-press-office/2015/12/11/executive-order-half-day-closing-executive-departments-and-agencies,"Executive Order -- Half-Day Closing of Executive Departments and Agencies of the Federal Government on Thursday, December 24, 2015 | whitehouse.gov",31
applicationmanager.gov/sso.aspx,Application Manager,30
consumer.ftc.gov/articles/0155-free-credit-reports,Free Credit Reports | Consumer Information,30
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 47.75°N and Longitude 121.09°W (Elev. 4049 ft),30
irs.gov/businesses/small-businesses-&-self-employed/employer-id-numbers-eins,Employer ID Numbers,30
irs.gov/individuals/international-taxpayers/taxpayer-identification-numbers-tin,Taxpayer Identification Numbers (TIN),30
irs.gov/instructions/i109495c/ar01.html,Instructions for Forms 1094-C and 1095-C (2015),30
nasa.gov/mission_pages/station/main/index.html,International Space Station | NASA,30
nccd.cdc.gov/dnpabmi/calculator.aspx,Body Mass Index BMI (BMI) Percentile Calculator for Child and Teen | DNPAO | CDC,30
selectionmanager.usastaffing.gov/account/logout,Selection Manager - Powered by USA Staffing,30
ssa.gov/planners/benefitcalculators.html,Calculators,30
ssa.gov/retire/apply.html,How to Apply Online For Social Security Retirement Benefits,30
therealcost.betobaccofree.hhs.gov/facts/index.html,Facts - Why Smoking Is Bad for You | The Real Cost,30
travel.state.gov/content/passports/en/passports/information/processing-times.html,Processing Times,30
uscis.gov/citizenship/learners/apply-citizenship,Apply for Citizenship | USCIS,30
wrh.noaa.gov/sto/,National Weather Service - NWS Sacramento,30
e-verify.uscis.gov/emp/cpshome.aspx,E-Verify - Home Page,29
faa.gov/search/?omni=mainsearch,Search Results,29
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3749,Selected Topic,29
osha.gov/law-regs.html,OSHA Law & Regulations,29
ssa.gov/medicare/apply.html,Medicare Benefits - How to Apply Online Even if You Are not Ready to Retire,29
ssa.gov/news/press/factsheets/colafacts2016.html,Social Security Press Office: 2016 Social Security Changes,29
tsa.gov/tsa-precheck,TSA Pre✓® | Transportation Security Administration,29
uscis.gov/i-9,Employment Eligibility Verification | USCIS,29
uspto.gov/patent/forms/forms-patent-applications-filed-or-after-september-16-2012,"Forms For Patent Applications Filed On Or After September 16, 2012 | USPTO",29
bls.gov/ooh/,Home : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,28
cdc.gov/std/gonorrhea/stdfact-gonorrhea.htm,STD Facts - Gonorrhea,28
ceac.state.gov/genniv/general/complete/complete_workeducation3.aspx?node=workeducation3,Nonimmigrant Visa - Additional Work/Education/Training Information,28
ceac.state.gov/iv/ivsummary.aspx,Immigrant Visa - Summary Information,28
census.gov/eos/www/naics/,North American Industry Classification System (NAICS) Main Page � U.S. Census Bureau,28
egov.uscis.gov/casestatus/logon.do,myUSCIS - My Cases,28
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS - Case Status Search,28
faa.gov/news/updates/?newsid=84369,FAA Issues Fact Sheet on State and Local UAS Laws,28
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3704,Selected Topic,28
fbo.gov/index?s=opportunity&mode=list,Opportunities - Federal Business Opportunities: Opportunities,28
foodsafety.gov/keep/charts/storagetimes.html,Storage Times for the Refrigerator and Freezer | FoodSafety.gov,28
hrsa.gov/loanscholarships/repayment/nursing/index.html,Nurse Corps Loan Repayment Program,28
irs.gov/affordable-care-act/form-w-2-reporting-of-employer-sponsored-health-coverage,Form W-2 Reporting of Employer-Sponsored Health Coverage,28
